,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
710,1000,1e-07,1,13,0.25
711,1000,1e-07,1,15,0.244
712,1000,1e-07,3,1,0.25
713,1000,1e-07,3,3,0.272
714,1000,1e-07,3,5,0.191
715,1000,1e-07,3,7,0.276
716,1000,1e-07,3,9,0.244
717,1000,1e-07,3,11,0.222
718,1000,1e-07,3,13,0.256
719,1000,1e-07,3,15,0.335
720,1000,1e-07,5,1,0.387
721,1000,1e-07,5,3,0.341
722,1000,1e-07,5,5,0.341
723,1000,1e-07,5,7,0.366
724,1000,1e-07,5,9,0.219
725,1000,1e-07,5,11,0.208
726,1000,1e-07,5,13,0.321
727,1000,1e-07,5,15,0.387
728,1000,1e-07,7,1,0.348
729,1000,1e-07,7,3,0.321
730,1000,1e-07,7,5,0.223
731,1000,1e-07,7,7,0.123
732,1000,1e-07,7,9,0.292
733,1000,1e-07,7,11,0.327
734,1000,1e-07,7,13,0.389
735,1000,1e-07,7,15,0.177
736,1000,1e-07,9,1,0.26
737,1000,1e-07,9,3,0.324
738,1000,1e-07,9,5,0.228
739,1000,1e-07,9,7,0.26
740,1000,1e-07,9,9,0.49
741,1000,1e-07,9,11,0.164
742,1000,1e-07,9,13,0.157
743,1000,1e-07,9,15,0.267
744,1000,1e-07,11,1,0.143
745,1000,1e-07,11,3,0.23
746,1000,1e-07,11,5,0.092
747,1000,1e-07,11,7,0.355
748,1000,1e-07,11,9,0.492
749,1000,1e-07,11,11,0.122
750,1000,1e-07,11,13,0.392
751,1000,1e-07,11,15,0.189
752,1000,1e-07,13,1,0.171
753,1000,1e-07,13,3,0.258
754,1000,1e-07,13,5,0.224
755,1000,1e-07,13,7,0.166
756,1000,1e-07,13,9,0.19
757,1000,1e-07,13,11,0.228
758,1000,1e-07,13,13,0.229
759,1000,1e-07,13,15,0.249
760,1000,1e-07,15,1,0.388
761,1000,1e-07,15,3,0.325
762,1000,1e-07,15,5,0.273
763,1000,1e-07,15,7,0.072
764,1000,1e-07,15,9,0.435
765,1000,1e-07,15,11,0.256
766,1000,1e-07,15,13,0.183
767,1000,1e-07,15,15,0.237
